0,1,2,3
?Papel,CFLU4,?Cotação,1.00000
?Tipo,PN,?Data últ cot,13/02/2003
?Empresa,COCA COLA PN,?Min 52 sem,000
?Setor,,?Max 52 sem,000
?Subsetor,,?Vol $ méd (2m),0
