Papel;Empresa;Setor;Subsetor;Cotação;Valor da Firma;Valor de Mercado;Número de Ações;P/L;Div. Yield;EV/EBITDA;EV/EBIT;ROE;ROIC;Lucro Líquido (ano)
CNTO3;CENTAURO ON NM;Comércio;Tecidos, Vestuário e Calçados;2795;7.006.300.000;6.757.890.000;241.785.000;3068;0,0;4333;-10981;11,3;-2,1;220.242.000
BPAC11;BTGP BANCO UNT;Financeiros;Bancos;8263;-;74.717.000.000;2.712.710.000;3056;1,4;-;-;9,6;-;2.444.830.000
CCRO3;COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM;Transporte;Exploração de Rodovias;1345;41.652.800.000;27.169.000.000;2.020.000.000;3086;5,7;848;1503;10,7;9,8;880.374.000
GGBR3;GERDAU S.A. ON N1;Siderurgia e Metalurgia;Siderurgia;1646;42.734.200.000;28.305.600.000;1.719.660.000;3086;0,4;1053;2313;3,1;3,5;917.095.000
AGRO3;BRASILAGRO ON NM;Exploração de Imóveis;Exploração de Imóveis;2024;1.802.840.000;1.256.990.000;62.104.300;3108;4,2;1050;1213;3,7;8,4;40.442.000
PARD3;IHPARDINI ON NM;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;2663;3.626.230.000;3.487.970.000;130.979.000;3160;0,9;1423;2291;15,4;11,0;110.384.000
LOGG3;LOG COM PROP ON NM;Exploração de Imóveis;Exploração de Imóveis;3243;3.679.590.000;3.313.020.000;102.159.000;3318;0,7;3457;3481;3,4;3,0;99.855.000
DTEX3;DURATEX ON NM;Madeira e Papel;Madeira;1655;13.629.100.000;11.449.000.000;691.785.000;3360;2,3;1344;4080;7,2;3,8;340.730.000
B3SA3;B3 ON;Serviços Financeiros Diversos;Serviços Financeiros Diversos;6097;118.256.000.000;125.546.000.000;2.059.140.000;3724;2,4;2241;2778;13,2;14,2;3.371.140.000
LREN3;RENNER ON;Comércio;Tecidos, Vestuário e Calçados;4197;34.159.100.000;33.390.900.000;795.590.000;3523;0,8;1090;1432;20,2;26,1;947.914.000
