Papel;Empresa;Setor;Subsetor;Cotação;Valor da Firma;Valor de Mercado;Número de Ações;P/L;Div. Yield;EV/EBITDA;EV/EBIT;ROE;ROIC;Lucro Líquido (ano)
BMGB4;BANCO BMG PN N1;Financeiros;Bancos;502;-;2.969.200.000;591.475.000;000;4,2;-;-;-;-;0
DMVF3;D1000VFARMA ON NM;Saúde;Medicamentos e Outros Produtos;1228;885.009.000;621.405.000;50.603.000;000;0,0;-;-;-;-;0
IRBR3;IRBBRASIL RE ON NM;Previdência e Seguros;Seguradoras;821;-;7.684.560.000;936.000.000;000;5,8;-;-;-;-;0
LJQQ3;QUERO-QUERO ON NM;Comércio;Produtos Diversos;1350;2.708.720.000;2.506.130.000;185.639.000;000;0,0;-;-;-;-;0
SOMA3;GRUPO SOMA ON NM;Comércio;Tecidos, Vestuário e Calçados;1138;5.788.020.000;5.429.880.000;477.142.000;000;0,0;-;-;-;-;0
VIVA3;VIVARA S.A. ON NM;Tecidos, Vestuário e Calçados;Acessórios;2210;5.046.100.000;5.219.980.000;236.198.000;000;0,7;-;-;-;-;0
LIGT3;LIGHT SA ON;Energia Elétrica;Energia Elétrica;1619;12.935.100.000;4.920.690.000;303.934.000;386;0,0;802;1267;19,1;4,9;1.274.730.000
SMLS3;SMILES ON NM;Diversos;Programas de Fidelização;1390;238.660.000;1.725.810.000;124.159.000;448;8,0;051;054;30,5;27,0;384.995.000
BRSR6;BANRISUL S/A PNB;Financeiros;Bancos;1353;-;5.533.420.000;408.974.000;519;5,1;-;-;13,0;-;1.066.370.000
CPLE3;COPEL ON;Energia Elétrica;Energia Elétrica;6200;24.826.900.000;16.966.600.000;273.655.000;520;3,6;453;577;16,8;10,8;3.262.990.000
CPLE6;COPEL PNB;Energia Elétrica;Energia Elétrica;6232;24.914.500.000;17.054.200.000;273.655.000;523;4,0;455;579;16,8;10,8;3.262.990.000
CLSC4;CELESC PN N2;Energia Elétrica;Energia Elétrica;5578;3.296.950.000;2.151.550.000;38.572.000;583;3,5;485;741;22,9;5,3;369.171.000
BBAS3;BANCO DO BRASIL S.A. ON;Financeiros;Bancos;3295;-;94.415.500.000;2.865.420.000;585;5,6;-;-;15,4;-;16.127.300.000
ELET3;ELETROBRÁS ON;Energia Elétrica;Energia Elétrica;3407;87.557.800.000;53.453.500.000;1.568.930.000;621;4,8;573;652;11,4;8,2;8.609.260.000
ELET6;ELETROBRÁS PNB;Energia Elétrica;Energia Elétrica;3453;88.279.500.000;54.175.200.000;1.568.930.000;629;5,2;578;658;11,4;8,2;8.609.260.000
ETER3;ETERNIT ON;Construção e Engenharia;Materiais de Construção;494;317.319.000;255.279.000;51.676.000;636;0,0;-2645;-998;96,6;-6,5;40.140.000
TRPL4;TRANSMISSÃO PAULISTA PN N1;Energia Elétrica;Energia Elétrica;2179;16.604.400.000;14.357.100.000;658.883.000;646;6,1;608;612;17,2;13,3;2.222.100.000
CESP6;CESP CIA ENERGETICA SAO PAULO PNB;Energia Elétrica;Energia Elétrica;3084;11.107.300.000;10.100.200.000;327.503.000;666;6,0;1053;1719;21,1;5,4;1.516.870.000
SAPR11;SANEPAR UNT N2;Água e Saneamento;Água e Saneamento;2684;10.890.300.000;8.112.150.000;1.511.210.000;693;3,8;467;549;18,0;16,9;1.170.370.000
SAPR4;SANEPAR PN;Água e Saneamento;Água e Saneamento;540;10.938.700.000;8.160.510.000;1.511.210.000;697;3,9;469;551;18,0;16,9;1.170.370.000
ABCB4;ABC Brasil PN N2;Financeiros;Bancos;1354;-;2.956.580.000;218.359.000;706;4,8;-;-;10,2;-;418.733.000
SAPR3;SANEPAR ON;Água e Saneamento;Água e Saneamento;551;11.104.900.000;8.326.740.000;1.511.210.000;711;3,5;476;560;18,0;16,9;1.170.370.000
TAEE11;TAESA UNT;Energia Elétrica;Energia Elétrica;2832;15.066.500.000;9.756.210.000;1.033.500.000;730;8,5;1050;1061;24,7;11,9;1.337.120.000
TAEE4;TAESA PN N2;Energia Elétrica;Energia Elétrica;950;15.128.500.000;9.818.220.000;1.033.500.000;734;8,5;1055;1065;24,7;11,9;1.337.120.000
SANB3;SANTANDER ON;Financeiros;Bancos;1362;-;102.130.000.000;7.498.530.000;776;9,8;-;-;17,7;-;13.159.700.000
MRFG3;Marfrig ON NM;Alimentos;Carnes e Derivados;1747;30.468.200.000;12.427.600.000;711.370.000;784;0,0;362;427;431,4;27,4;1.584.280.000
ROMI3;ROMI ON;Máquinas e Equipamentos;Máqs. e Equips. Industriais;1267;1.087.130.000;796.411.000;62.858.000;805;9,9;1147;1799;12,2;4,5;98.894.000
ENBR3;EDP ENERGIAS DO BRASIL S/A ON;Energia Elétrica;Energia Elétrica;1750;16.613.800.000;10.619.900.000;606.850.000;809;3,3;544;688;14,1;10,5;1.313.260.000
SANB11;SANTANDER UNT;Financeiros;Bancos;2890;-;108.354.000.000;7.498.530.000;823;9,7;-;-;17,7;-;13.159.700.000
CSMG3;COPASA MG ON;Água e Saneamento;Água e Saneamento;4985;8.684.320.000;6.318.540.000;126.751.000;836;3,6;455;678;10,8;11,9;755.760.000
SANB4;SANTANDER PN;Financeiros;Bancos;1518;-;113.828.000.000;7.498.530.000;865;9,7;-;-;17,7;-;13.159.700.000
EQTL3;EQUATORIAL ENERGIA S.A. ON NM;Energia Elétrica;Energia Elétrica;2344;35.244.800.000;23.681.100.000;1.010.290.000;875;1,4;581;658;30,1;16,3;2.706.460.000
WIZS3;WIZ S.A. ON NM;Previdência e Seguros;Corretoras de Seguros;1069;1.587.850.000;1.709.410.000;159.907.000;887;6,3;364;412;71,0;77,6;192.729.000
PTBL3;PORTOBELLO S/A ON;Construção e Engenharia;Materiais de Construção;454;1.187.200.000;719.540.000;158.489.000;911;0,9;2249;-40826;19,2;-0,2;78.960.000
FESA4;FERBASA PN;Siderurgia e Metalurgia;Siderurgia;1739;1.859.730.000;1.535.880.000;88.320.000;935;4,5;541;1205;9,6;6,0;164.350.000
BEEF3;Minerva ON NM;Alimentos;Carnes e Derivados;1368;12.083.000.000;6.659.550.000;486.809.000;971;0,0;598;698;81,8;19,8;685.504.000
JHSF3;JHSF Part ON NM;Construção e Engenharia;Construção Civil;823;6.375.590.000;5.641.920.000;685.531.000;972;1,7;1838;1991;17,9;5,5;580.338.000
BBDC3;BANCO BRADESCO S.A. ON N1;Financeiros;Bancos;1931;-;171.284.000.000;8.870.210.000;973;8,1;-;-;13,0;-;17.608.200.000
ENAT3;ENAUTA PART ON;Petróleo, Gás e Biocombustíveis;Exploração e/ou Refino e Distribuição;1315;2.130.320.000;3.495.360.000;265.807.000;1002;8,7;244;670;12,0;11,0;348.668.000
BRPR3;BR PROPERTIES ON NM;Exploração de Imóveis;Exploração de Imóveis;946;5.153.600.000;4.649.680.000;491.510.000;1019;0,9;2368;2368;6,4;2,5;456.488.000
BBDC4;BANCO BRADESCO S.A. PN N1;Financeiros;Bancos;2070;-;183.613.000.000;8.870.210.000;1043;8,3;-;-;13,0;-;17.608.200.000
NEOE3;NEOENERGIA ON NM;Energia Elétrica;Energia Elétrica;1970;45.722.800.000;23.911.800.000;1.213.800.000;1078;2,1;723;954;11,0;9,1;2.217.790.000
NEOE3;NEOENERGIA ON NM;Energia Elétrica;Energia Elétrica;1970;45.722.800.000;23.911.800.000;1.213.800.000;1078;2,1;723;954;11,0;9,1;2.217.790.000
HGTX3;CIA HERING ON N1;Tecidos, Vestuário e Calçados;Vestuário;1751;2.591.050.000;2.845.970.000;162.534.000;1098;2,6;1562;3423;17,3;5,3;259.227.000
TGMA3;Tegma ON NM;Transporte;Transporte Rodoviário;2499;1.687.650.000;1.649.410.000;66.003.000;1101;4,6;1071;1273;25,4;17,9;149.760.000
ALUP11;ALUPAR UNT N2;Energia Elétrica;Energia Elétrica;2411;12.811.800.000;7.065.120.000;879.111.000;1121;2,9;574;612;11,9;12,4;630.126.000
SHUL4;SCHULZ PN;Máquinas e Equipamentos;Motores, Compressores e Outros;1195;1.297.710.000;1.067.660.000;89.344.000;1133;1,8;1029;1537;14,6;8,0;94.241.000
ITUB3;ITAUUNIBANCO ON N1;Financeiros;Bancos;2306;-;226.083.000.000;9.804.140.000;1135;5,5;-;-;15,8;-;19.921.900.000
PSSA3;PORTO SEGURO SA ON;Previdência e Seguros;Seguradoras;5659;4.649.610.000;18.295.200.000;323.293.000;1155;3,9;032;032;18,6;74,0;1.583.720.000
ITSA4;ITAÚSA PN N1;Financeiros;Bancos;973;82.997.200.000;81.837.200.000;8.410.810.000;1169;5,6;9606;46891;13,2;0,3;7.001.000.000
ITUB4;ITAUUNIBANCO PN N1;Financeiros;Bancos;2408;-;236.084.000.000;9.804.140.000;1185;5,3;-;-;15,8;-;19.921.900.000
CPFE3;CPFL ENERGIA S.A. ON;Energia Elétrica;Energia Elétrica;2949;49.356.000.000;33.980.000.000;1.152.250.000;1188;6,1;806;1055;19,5;11,7;2.859.730.000
GPCP3;GPC PARTICIPACOES SA ON;Químicos;Petroquímicos;5399;505.552.000;338.409.000;6.268.000;1201;0,6;694;962;14,9;6,7;28.189.000
COCE5;CIA ENERG CEARA - COELCE PNA;Energia Elétrica;Energia Elétrica;6075;7.254.180.000;4.729.690.000;77.855.000;1233;3,5;847;1292;12,2;6,7;383.693.000
CVCB3;CVC BRASIL ON NM;Viagens e Lazer;Viagens e Turismo;1997;4.112.530.000;2.982.100.000;149.329.000;1235;2,1;487;583;17,6;12,2;241.522.000
SMTO3;SAO MARTINHO ON NM;Alimentos;Alimentos Diversos;2450;13.271.200.000;8.673.270.000;354.011.000;1308;2,2;589;1445;19,5;9,2;663.253.000
EGIE3;ENGIE BRASIL ON;Energia Elétrica;Energia Elétrica;4270;47.029.700.000;34.840.100.000;815.928.000;1321;5,5;946;1166;35,5;15,1;2.636.890.000
ITSA3;ITAÚSA ON N1;Financeiros;Bancos;1112;94.688.300.000;93.528.300.000;8.410.810.000;1336;4,9;10959;53496;13,2;0,3;7.001.000.000
BRFS3;BRF Foods ON NM;Alimentos;Carnes e Derivados;2052;31.527.000.000;16.672.000.000;812.473.000;1351;0,0;608;1101;18,2;9,3;1.233.670.000
CMIG4;CEMIG PN N1;Energia Elétrica;Energia Elétrica;1081;28.779.500.000;16.417.700.000;1.518.750.000;1366;4,7;644;822;7,1;7,4;1.202.240.000
PRIO3;PETRORIO ON;Petróleo, Gás e Biocombustíveis;Exploração e/ou Refino e Distribuição;4477;8.962.370.000;6.477.590.000;144.686.000;1374;0,0;917;5097;18,3;2,8;471.346.000
CMIG3;CEMIG ON N1;Energia Elétrica;Energia Elétrica;1098;29.037.700.000;16.675.900.000;1.518.750.000;1387;4,6;650;830;7,1;7,4;1.202.240.000
BRDT3;PETROBRAS BR ON NM;Petróleo, Gás e Biocombustíveis;Exploração e/ou Refino e Distribuição;2256;30.195.400.000;26.282.400.000;1.165.000.000;1418;4,3;1854;2783;18,9;5,2;1.854.000.000
SULA11;Sul America UNT N2;Previdência e Seguros;Seguradoras;4620;5.293.480.000;18.209.900.000;1.182.460.000;1427;2,5;394;429;17,0;9,2;1.276.380.000
SLCE3;SLC Agricola ON NM;Agropecuária;Agricultura;2499;6.331.560.000;4.762.970.000;190.595.000;1428;3,2;923;1105;11,7;8,9;333.476.000
TIET11;AES TIETE E UNT N2;Energia Elétrica;Energia Elétrica;1503;8.682.390.000;5.998.570.000;1.995.530.000;1511;7,8;764;1060;25,5;15,9;396.945.000
TIET4;AES TIETE E PN N2;Energia Elétrica;Energia Elétrica;301;8.690.370.000;6.006.550.000;1.995.530.000;1513;7,8;765;1061;25,5;15,9;396.945.000
TIET3;AES TIETE E ON N2;Energia Elétrica;Energia Elétrica;302;8.710.330.000;6.026.510.000;1.995.530.000;1518;7,8;767;1064;25,5;15,9;396.945.000
